id,name,sugar
292,Vanilla Latte (Or Other Flavoured Latte) made with Tall Nonfat Milk,27
293,Vanilla Latte (Or Other Flavoured Latte) made with 2% Milk,27
294,Vanilla Latte (Or Other Flavoured Latte) made with Soymilk,20
295,Vanilla Latte (Or Other Flavoured Latte) made with Grande Nonfat Milk,35
296,Vanilla Latte (Or Other Flavoured Latte) made with 2% Milk,35
297,Vanilla Latte (Or Other Flavoured Latte) made with Soymilk,26
298,Vanilla Latte (Or Other Flavoured Latte) made with Venti Nonfat Milk,45
299,Vanilla Latte (Or Other Flavoured Latte) made with 2% Milk,44
300,Vanilla Latte (Or Other Flavoured Latte) made with Soymilk,33
301,Caffè Americano made with Short,0
302,Caffè Americano made with Tall,0
303,Caffè Americano made with Grande,0
304,Caffè Americano made with Venti,0
305,Cappuccino made with Short Nonfat Milk,7
306,Cappuccino made with 2% Milk,7
307,Cappuccino made with Soymilk,3
308,Cappuccino made with Tall Nonfat Milk,8
309,Cappuccino made with 2% Milk,8
310,Cappuccino made with Soymilk,4
311,Cappuccino made with Grande Nonfat Milk,10
312,Cappuccino made with 2% Milk,10
313,Cappuccino made with Soymilk,5
314,Cappuccino made with Venti Nonfat Milk,14
315,Cappuccino made with 2% Milk,14
316,Cappuccino made with Soymilk,7
317,Espresso made with Solo,0
318,Espresso made with Doppio,0
319,Skinny Latte (Any Flavour) made with Short Nonfat Milk,8
320,Skinny Latte (Any Flavour) made with Tall Nonfat Milk,13
321,Skinny Latte (Any Flavour) made with Grande Nonfat Milk,16
322,Skinny Latte (Any Flavour) made with Venti Nonfat Milk,21
323,Caramel Macchiato made with Short Nonfat Milk,15
324,Caramel Macchiato made with 2% Milk,15
325,Caramel Macchiato made with Soymilk,11
326,Caramel Macchiato made with Tall Nonfat Milk,24
327,Caramel Macchiato made with 2% Milk,23
328,Caramel Macchiato made with Soymilk,17
329,Caramel Macchiato made with Grande Nonfat Milk,32
330,Caramel Macchiato made with 2% Milk,32
331,Caramel Macchiato made with Soymilk,24
332,Caramel Macchiato made with Venti Nonfat Milk,41
333,Caramel Macchiato made with 2% Milk,40
334,Caramel Macchiato made with Soymilk,31
335,White Chocolate Mocha (Without Whipped Cream) made with Short Nonfat Milk,29
336,White Chocolate Mocha (Without Whipped Cream) made with 2% Milk,29
337,White Chocolate Mocha (Without Whipped Cream) made with Soymilk,25
338,White Chocolate Mocha (Without Whipped Cream) made with Tall Nonfat Milk,45
339,White Chocolate Mocha (Without Whipped Cream) made with 2% Milk,44
340,White Chocolate Mocha (Without Whipped Cream) made with Soymilk,39
341,White Chocolate Mocha (Without Whipped Cream) made with Grande Nonfat Milk,58
